state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,Uncommitted-D,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
MD,St. Mary's,31,31,73,4832,21,225,23,26,5031,45,342,74,2453,10,61,4682,312,250,7,66
MD,Talbot,12,12,26,1786,6,83,5,9,2696,15,155,50,952,6,24,3247,211,401,5,42
MD,Washington,50,50,100,6209,29,501,24,39,4309,63,453,151,5636,25,91,5785,378,487,6,91
MD,Wicomico,37,37,112,4164,15,195,17,36,5871,21,293,110,3184,14,85,4335,209,324,9,62
MD,Worcester,18,18,79,3175,14,130,8,14,3073,32,229,71,1581,6,54,3276,154,241,6,43
VA,*,2444,2443,794,347579,,5100,,2365,623479,1065,,2080,198324,,,244208,22070,17573,,3599
VA,Accomack,21,21,11,1299,,25,,10,2291,6,,24,985,,,1092,73,75,,14
VA,Albemarle,29,29,9,5101,,101,,36,11159,11,,29,2245,,,3422,391,406,,43
VA,Alexandria,27,27,24,9269,,101,,48,17208,29,,53,1098,,,4673,402,396,,69
VA,Alleghany,12,12,2,1138,,24,,1,558,3,,5,470,,,320,21,8,,5
VA,Amelia,6,6,2,394,,12,,8,863,7,,1,483,,,354,27,24,,12
VA,Amherst,12,12,4,1136,,14,,7,1429,12,,2,1464,,,670,74,31,,9
VA,Appomattox,9,9,1,589,,5,,7,614,3,,3,777,,,336,33,16,,6
VA,Arlington,51,51,40,16308,,234,,70,27934,58,,67,1585,,,6439,706,594,,102
VA,Augusta,26,26,5,2213,,48,,6,2544,12,,13,3240,,,2395,264,193,,39
VA,Bath,7,7,0,248,,10,,0,197,1,,1,156,,,132,13,9,,2
VA,Bedford,31,31,4,2908,,45,,15,2435,4,,29,4770,,,1979,186,147,,36
VA,Bedford City,3,3,2,305,,5,,1,293,1,,2,272,,,148,14,16,,5
VA,Bland,7,7,2,320,,13,,2,113,2,,0,315,,,133,12,7,,4
VA,Botetourt,17,17,0,1647,,28,,5,1208,1,,3,2112,,,865,85,74,,15
VA,Bristol,5,5,3,957,,13,,3,457,1,,4,804,,,466,43,17,,10
VA,Brunswick,14,14,3,447,,8,,8,1915,2,,5,272,,,426,13,9,,6
VA,Buchanan,17,17,2,2243,,19,,3,226,1,,1,393,,,257,16,8,,4
VA,Buckingham,9,9,3,529,,9,,7,1094,4,,4,316,,,336,23,11,,10
VA,Buena Vista,2,2,0,329,,2,,1,198,3,,1,152,,,106,25,66,,1
VA,Campbell,18,18,2,1661,,28,,7,2005,8,,11,3409,,,1189,79,51,,10
VA,Caroline,9,9,1,952,,16,,4,2396,6,,4,675,,,693,44,51,,9
VA,Carroll,18,18,6,1452,,45,,3,491,1,,7,1318,,,965,56,33,,12
VA,Charles City,3,3,0,249,,8,,5,1143,2,,1,114,,,100,18,17,,1
VA,Charlotte,11,11,7,465,,21,,4,800,2,,2,439,,,353,31,7,,0
VA,Charlottesville,9,9,1,1870,,34,,41,5724,6,,11,319,,,613,148,43,,9
VA,Chesapeake,54,54,22,8047,,153,,33,20780,30,,54,7650,,,7037,768,309,,72
VA,Chesterfield,65,65,16,11033,,117,,28,27546,16,,98,9846,,,11182,799,1132,,127
VA,Clarke,8,8,1,742,,20,,5,1013,3,,7,438,,,569,76,45,,14
VA,Colonial Heights,6,6,1,697,,8,,1,535,0,,10,731,,,801,69,67,,10
VA,Covington,5,5,1,316,,5,,1,221,4,,1,148,,,83,8,3,,2
VA,Craig,11,11,1,275,,9,,1,145,1,,1,254,,,109,16,13,,4
VA,Culpeper,14,14,0,1624,,26,,16,2181,6,,14,1454,,,1403,130,85,,23
VA,Cumberland,5,5,0,300,,9,,1,858,2,,3,295,,,288,11,15,,4
VA,Danville,18,18,7,1137,,28,,13,4138,14,,7,1164,,,1145,43,39,,8
VA,Dickenson,13,13,2,1491,,43,,4,210,2,,1,369,,,229,11,5,,8
VA,Dinwiddie,13,13,4,906,,20,,7,2377,4,,7,717,,,649,54,42,,13
VA,Emporia,7,7,1,148,,4,,4,496,1,,3,88,,,169,6,5,,1
VA,Essex,4,4,1,353,,5,,2,933,1,,2,210,,,384,16,20,,4
VA,Fairfax,232,232,123,64297,,668,,206,94591,154,,314,14429,,,38358,2945,3473,,609
VA,Fairfax City,7,7,4,1466,,14,,4,2007,3,,8,368,,,956,94,75,,24
VA,Falls Church,6,6,2,1104,,14,,4,1853,3,,5,292,,,1225,146,25,,83
VA,Fauquier,20,20,5,2935,,52,,9,4378,5,,16,1944,,,3120,313,217,,53
VA,Floyd,6,6,0,635,,24,,10,655,0,,3,689,,,355,46,22,,4
VA,Fluvanna,6,6,4,1045,,20,,3,1747,3,,6,716,,,815,85,71,,12
VA,Franklin,23,23,2,2445,,46,,10,2087,7,,9,2285,,,1308,96,101,,70
VA,Franklin City,7,7,0,357,,6,,5,991,2,,1,225,,,278,14,9,,2
VA,Frederick,20,20,8,2701,,51,,8,2781,5,,19,2265,,,2099,185,190,,41
VA,Fredericksburg,6,6,1,856,,15,,13,1797,1,,4,325,,,515,52,45,,7
VA,Galax,4,4,0,336,,4,,1,191,3,,3,189,,,132,1,2,,4
VA,Giles,10,10,5,990,,18,,3,426,2,,4,529,,,272,39,31,,3
VA,Gloucester,12,12,1,1572,,30,,4,2198,3,,13,1503,,,1676,219,64,,13
VA,Goochland,9,9,4,900,,11,,8,2026,6,,19,719,,,1221,70,128,,12
VA,Grayson,15,15,1,852,,24,,3,347,2,,2,585,,,350,20,17,,1
VA,Greene,4,4,3,657,,9,,2,845,3,,4,568,,,496,55,45,,3
