state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,Uncommitted-D,Uninstructed-D,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,Uninstructed-R
WA,Island,83,83,33,4630,10,211,17,79,6227,37,,,93,2150,21,34,5635,491,1665,,93,
WA,Jefferson,40,39,18,2621,6,92,14,183,4144,24,,,45,637,9,17,1885,317,601,,32,
WA,King,2553,1367,304,69569,80,1977,176,1022,90829,344,,,571,14967,136,195,41416,5214,11712,,621,
WA,Kitsap,265,238,102,12955,32,514,61,156,16668,155,,,214,4970,42,76,12640,1530,3841,,195,
WA,Kittitas,38,33,19,2069,5,82,11,26,2120,16,,,49,1043,14,24,2500,360,749,,45,
WA,Klickitat,23,23,10,1272,5,77,11,15,1333,12,,,27,655,3,14,1193,194,454,,21,
WA,Lewis,72,60,30,3557,15,183,25,32,3468,27,,,108,2401,15,38,4432,929,1202,,92,
WA,Lincoln,13,10,2,569,0,44,5,8,616,2,,,28,473,2,15,940,253,245,,20,
WA,Mason,59,52,47,4415,8,185,14,40,4125,24,,,51,1535,10,22,3376,419,969,,52,
WA,Okanogan,38,16,2234,0,0,0,0,0,0,0,,,2060,0,0,0,0,0,0,,0,
WA,Pacific,25,22,20,2266,5,123,4,26,1847,22,,,30,618,4,10,1262,180,417,,30,
WA,Pend Oreille,14,11,6,765,2,48,3,7,715,8,,,28,456,3,9,846,362,316,,17,
WA,Pierce,708,601,177,36163,52,1215,88,232,32411,148,,,471,11961,83,166,26250,2907,7696,,525,
WA,San Juan,21,21,12,1143,3,59,11,91,2770,31,,,15,242,3,9,901,137,346,,12,
