
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
TX,Bailey,5,5,2,306,0,14,,175,10,,0,2,266,0,0,375,13,9,4,0,12
TX,Bandera,11,1,1,391,3,5,,364,8,,0,9,508,1,22,1179,110,41,19,0,93
TX,Bastrop,22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Baylor,5,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Baylor,5,1,,,,,,,,,0,0,11,0,0,51,3,0,0,0,0
TX,Bee,18,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Bell,50,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Bexar,623,23,132,57923,143,450,,47439,400,,14,144,10881,66,211,21771,1343,845,260,9,397
TX,Blanco,5,1,0,182,0,4,,230,1,,,,,,,,,,,,
TX,Blanco,5,4,,,,,,,,,1,3,300,2,7,368,66,27,9,0,6
TX,Borden,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Borden,8,8,1,93,0,9,,32,4,,,,,,,,,,,,
TX,Bosque,17,5,12,547,0,83,,321,13,,0,0,137,2,3,221,8,16,5,0,2
TX,Bowie,37,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Bowie,37,1,23,1971,4,107,,1540,41,,,,,,,,,,,,
TX,Brazoria,72,1,23,6845,9,103,,8013,34,,0,39,3630,108,104,5872,1906,203,76,2,117
TX,Brazos,43,1,4,1801,2,31,,2849,7,,2,8,1486,15,31,2247,190,115,57,0,46
TX,Brewster,9,1,5,645,5,32,,722,24,,2,8,222,8,3,357,78,11,4,0,1
TX,Briscoe,6,6,1,164,1,13,,89,5,,0,3,120,2,0,132,4,2,3,0,8
TX,Brooks,10,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Brooks,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Brown,19,1,1,655,0,18,,300,5,,2,11,628,2,9,1252,59,36,19,0,43
TX,Burleson,16,1,1,358,0,15,,234,1,,0,4,134,2,3,213,18,6,0,0,4

TX,Burnet,23,5,0,1065,3,23,,887,8,,0,24,910,6,9,1868,135,40,19,2,66
TX,Caldwell,27,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Calhoun,26,10,,,,,,,,,0,3,113,3,0,234,56,6,2,0,0
TX,Calhoun,26,25,7,1192,10,93,,702,29,,,,,,,,,,,,
TX,Callahan,8,4,2,476,0,22,,203,2,,1,5,283,3,5,301,14,5,3,0,0
TX,Cameron,99,1,79,14671,39,212,,6534,119,,5,29,477,25,15,1371,125,58,22,1,30
TX,Camp,5,1,3,349,1,21,,251,0,,0,0,125,2,1,163,10,7,4,0,4
TX,Carson,10,1,0,89,0,2,,51,1,,0,2,104,6,0,109,7,1,3,0,3
TX,Cass,21,1,13,689,5,81,,299,8,,0,0,88,0,4,49,9,1,0,0,2
TX,Castro,10,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Chambers,14,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Cherokee,29,1,7,908,3,44,,633,11,,1,6,642,3,4,927,36,25,18,0,25
