county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
Newmarket,1,1,5,940,1,381,2,41,925,107,138,138,4,1,477,137,323,0,21

Newport,1,1,3,470,3,205,3,8,422,55,88,126,4,1,346,106,231,0,10

Newton,1,1,2,430,4,153,0,1,259,23,65,82,4,2,242,55,290,0,12


North Hampton,1,1,8,430,1,188,1,11,452,51,90,77,2,0,470,53,416,0,19

Northfield,1,1,0,346,0,204,0,11,298,58,51,144,5,1,289,80,175,0,6

Northumberland,1,1,0,208,0,140,1,5,129,20,25,48,0,0,116,27,37,0,2


Northwood,1,1,1,372,0,193,2,11,317,34,79,128,1,0,283,60,224,0,13

Nottingham,1,1,2,391,0,195,0,32,359,52,65,140,7,1,371,74,289,0,12

Orange,1,1,0,24,0,16,1,1,35,1,5,3,0,0,18,12,9,0,2


Orford,1,1,0,84,0,55,0,4,165,22,10,30,2,2,89,19,45,0,5

Ossipee,1,1,3,281,0,141,1,6,261,44,54,107,3,1,301,83,232,0,13

Pelham,1,1,8,1260,4,389,4,11,721,55,195,195,5,0,885,139,1006,1,32


Pembroke,1,1,1,605,1,312,1,24,493,91,151,161,14,1,473,136,383,0,16

Peterborough,1,1,3,549,0,347,1,70,979,115,97,95,0,0,523,83,344,0,10

Piermont,1,1,0,67,1,26,0,1,81,7,10,26,4,0,56,12,25,0,2


Pittsburg,1,1,0,52,0,15,0,0,49,10,15,22,3,0,95,21,40,0,6

Pittsfield,1,1,0,272,0,122,4,6,255,26,81,138,8,0,226,70,186,0,4

Plainfield,1,1,1,194,1,135,3,11,378,34,28,52,3,0,175,32,71,0,10


Plaistow,1,1,2,699,0,217,0,5,389,28,124,97,4,3,482,99,641,1,15

Plymouth,1,1,3,394,0,204,1,54,648,80,66,88,0,0,316,81,129,0,5

Portsmouth,5,5,14,2368,8,1071,9,125,2807,316,325,196,10,1,1219,221,728,2,26


Randolph,1,1,0,30,0,20,0,1,57,12,9,12,0,0,33,6,19,0,3




Raymond,1,1,0,797,0,320,5,19,473,83,160,241,10,0,618,165,527,0,18

Richmond,1,1,0,99,0,48,0,12,106,17,11,36,2,2,50,89,52,0,6


Rindge,1,1,0,381,0,153,4,34,348,56,49,287,2,0,351,120,367,2,11

Rochester,6,6,14,2682,1,1133,7,57,1796,172,379,712,31,4,1498,348,1123,2,87

Rollinsford,1,1,1,304,1,129,0,21,224,26,39,65,2,0,172,34,120,0,16


Roxbury,1,1,0,22,0,11,0,3,50,9,2,4,0,0,17,2,6,0,0

